,,,,,
,Subject,Course Link,Resources,Total Sessions,Remaining
,,,,,
,Math,https://www.youtube.com/playlist?list=PLZ2ps__7DhBb1AyRNidKBrk_N5eTpVQRA,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,90,90
,Stat,https://www.youtube.com/playlist?list=PLZ2ps__7DhBbhK4gNFIWwx9cct193V0_b,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,70,70
,CT,https://www.youtube.com/playlist?list=PLZ2ps__7DhBYSzaAFqpyQKqmoni-EefS7,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,134,134
,CFA,https://www.efinladder.in/mycourses/CFA,,,0
,Python for DS,https://www.youtube.com/playlist?list=PLh2mXjKcTPSACrQxPM2_1Ojus5HX88ht7,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,32,32
,Quant Finance,https://www.youtube.com/playlist?list=PL3F00F1C2D402D45C,,26,25
,DBMS,https://www.youtube.com/playlist?list=PLZ2ps__7DhBYc4jkUk_yQAjYEVFzVzhdU,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,81,79
,Disc Math,https://www.youtube.com/playlist?list=PLyqSpQzTE6M_f9q2YVF0rx9oSO_UAteS0,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,61,61
,Web App Dev,https://www.youtube.com/playlist?list=PLZ2ps__7DhBZGVuyXs2l3KJtiHs0KMVE7,https://txtghana-my.sharepoint.com/:f:/g/personal/abhinav_gwosevo_com/IgAAWbBzhSn2RIK17FexHfciATG-fUTPW-qczf1Eqrc55hI?e=r4wEe9,105,102
,Spanish,,,,0
,NISM Research Analyst,https://youtube.com/playlist?list=PLMdK_Oe95V-GVbCQMRnd4qowd6OgSqk7A&si=U0xg8uDhoK1C94T3,,30,
